Sample_ID,NewOld,Dcol,Image#,Cell_size
36-873_08092021,New,11.8,1,S
36-873_08092021,New,45.7,2,L
36-873_08092021,New,314.1,4,L
36-873_08092021,New,59.2,5,S
36-873_08092021,New,23.7,6,S
36-873_08092021,New,34.7,7,L
36-873_08092021,New,15.5,8,S
36-873_08092021,New,59,9,L
36-873_08092021,New,97.6,10,S
36-873_08092021,New,76.5,11,S
36-873_08092021,New,20.7,12,S
36-873_08092021,New,147.7,13,L
36-873_08092021,New,39.5,14,S
36-873_08092021,New,25.2,15,S
36-873_08092021,New,21.4,17,S
36-873_08092021,New,36.7,18,L
36-873_08092021,New,27,19,S
36-873_08092021,New,41.4,20,S
36-873_08092021,New,57.6,21,L
36-873_08092021,New,17,22,S
36-873_08092021,New,30.7,23,S
36-873_08092021,New,99.9,24,S
36-873_08092021,New,208.5,25,L
36-873_08092021,New,41.9,26,S
36-873_08092021,New,74.4,27,S
36-873_08092021,New,32.4,28,S
36-873_08092021,New,34,29,S
36-873_08092021,New,50.2,30,L
36-873_08092021,New,1537.6,96B,L
36-873_08092021,New,29.7,75,L
36-873_08092021,New,44.2,75,L
36-873_08092021,New,35.6,75,S
36-873_08092021,New,28.4,76,S
36-873_08092021,Old,11.2,1,S
36-873_08092021,Old,50.1,2,S
36-873_08092021,Old,49.7,3,S
36-873_08092021,Old,10.4,4,S
36-873_08092021,Old,20.1,5,S
36-873_08092021,Old,35.3,6,S
36-873_08092021,Old,13.7,7,S
36-873_08092021,Old,17.4,8,S
36-873_08092021,Old,58.5,9,S
36-873_08092021,Old,20.1,10,S
36-873_08092021,Old,27.2,10,S
36-873_08092021,Old,86.8,11,S
36-873_09102021,New,204.7,1,L
36-873_09102021,New,38.3,2,S
36-873_09102021,New,145.8,3,L
36-873_09102021,New,17.1,4,S
36-873_09102021,New,45.6,5,L
36-873_09102021,New,69,6,S
36-873_09102021,New,109.5,9,S
36-873_09102021,New,25.4,10,S
36-873_09102021,New,88.2,11,L
36-873_09102021,New,14.7,12,S
36-873_09102021,New,8.4,13,S
36-873_09102021,New,130.6,14,L
36-873_09102021,New,30.5,15,S
36-873_09102021,New,38.8,16,S
36-873_09102021,New,40.1,17,L
36-873_09102021,New,62.1,18,L
36-873_09102021,New,107.9,19,L
36-873_09102021,New,20.2,20,S
36-873_09102021,New,34.3,21,L
36-873_09102021,New,176.6,22,L
36-873_09102021,New,174.6,23,L
36-873_09102021,New,25.8,24,S
36-873_09102021,New,48.1,25,S
36-873_09102021,New,35.9,26,S
36-873_09102021,New,56.9,27,S
36-873_09102021,New,81.4,28,L
36-873_09102021,New,17,29,S
36-873_09102021,New,135.1,30,L
36-873_09102021,New,17.9,31,S
36-873_09102021,New,282.2,32,L
36-873_09102021,New,46.9,32,L
36-873_09102021,New,194,35,S
36-873_09102021,New,45.2,37,S
36-873_09102021,New,25.8,39,S
36-873_09102021,Old,86.8,1,S
36-873_09102021,Old,34.3,2,S
36-873_09102021,Old,26.1,3,S
36-873_09102021,Old,16.1,4,S
36-873_09102021,Old,90.2,5,L
36-873_09102021,Old,88.2,6,L