"","Time","Size","Treatment","Trial","FilterType","Final","Initial"
"1","EarlyAug","Nano",0,"R1","Chl",952501.955658599,1476826.25494244
"2","EarlyAug","Nano",0,"R1","Dapi",1320337.72259496,2225801.59481544
"3","EarlyAug","Nano",0,"R1","Hetero",367835.76693636,748975.339872997
"4","EarlyAug","Nano",0,"R2","Chl",838015.578803958,1382663.51198057
"5","EarlyAug","Nano",0,"R2","Dapi",1214599.17819319,1119817.40735113
"6","EarlyAug","Nano",0,"R2","Hetero",376583.599389234,-262846.104629437
"7","EarlyAug","Nano",0,"R3","Chl",1156836.38334203,623637.779556717
"8","EarlyAug","Nano",0,"R3","Dapi",1012530.08677744,953957.598752638
"9","EarlyAug","Nano",0,"R3","Hetero",-144306.296564584,330319.819195921
"10","EarlyAug","Nano",0,"R4","Chl",500431.696801139,454337.135889476
"11","EarlyAug","Nano",0,"R4","Dapi",664846.586859744,741210.606598644
"12","EarlyAug","Nano",0,"R4","Hetero",164414.890058605,286873.470709169
"13","EarlyAug","Nano",1,"R1","Chl",1162930.06638857,1516532.03563763
"14","EarlyAug","Nano",1,"R1","Dapi",1697645.35059762,1818930.53760838
"15","EarlyAug","Nano",1,"R1","Hetero",534715.284209055,302398.501970752
"16","EarlyAug","Nano",1,"R2","Chl",607757.747650374,892132.037748179
"17","EarlyAug","Nano",1,"R2","Dapi",797192.94947371,1239334.51874818
"18","EarlyAug","Nano",1,"R2","Hetero",189435.201823336,347202.481000003
"19","EarlyAug","Nano",1,"R3","Chl",1191831.54911697,1078456.01909054
"20","EarlyAug","Nano",1,"R3","Dapi",1384005.77966771,1825160.72586227
"21","EarlyAug","Nano",1,"R3","Hetero",192174.230550737,746704.706771732
"22","EarlyAug","Nano",1,"R4","Chl",540342.603240974,869270.508043519
"23","EarlyAug","Nano",1,"R4","Dapi",807514.194028348,1538857.61074312
"24","EarlyAug","Nano",1,"R4","Hetero",267171.590787374,669587.102699602
"25","EarlyAug","Nano",2,"R1","Chl",573744.209630718,605057.063415658
"26","EarlyAug","Nano",2,"R1","Dapi",992011.23836712,764169.113503952
"27","EarlyAug","Nano",2,"R1","Hetero",418267.028736403,159112.050088293
"28","EarlyAug","Nano",2,"R2","Chl",463383.139931652,510257.47353768
"29","EarlyAug","Nano",2,"R2","Dapi",827877.383173907,862979.812882868
"30","EarlyAug","Nano",2,"R2","Hetero",364494.243242255,352722.339345189
"31","EarlyAug","Nano",2,"R3","Chl",778557.295123976,971804.191649776
"32","EarlyAug","Nano",2,"R3","Dapi",1580526.1409272,1068241.82193808
"33","EarlyAug","Nano",2,"R3","Hetero",801968.845803224,96437.6302883004
"34","EarlyAug","Nano",2,"R4","Chl",381472.510076033,1153687.97188513
"35","EarlyAug","Nano",2,"R4","Dapi",613594.423772915,1351983.53930798
"36","EarlyAug","Nano",2,"R4","Hetero",232121.913696882,198295.567422857
"37","EarlyAug","Nano",4,"R1","Chl",385413.984665749,692408.550786975
"38","EarlyAug","Nano",4,"R1","Dapi",412765.189362663,901010.454740583
"39","EarlyAug","Nano",4,"R1","Hetero",27351.2046969137,208601.903953608
"40","EarlyAug","Nano",4,"R2","Chl",127241.686409666,614017.148663887
"41","EarlyAug","Nano",4,"R2","Dapi",244050.387219826,862184.970508924
"42","EarlyAug","Nano",4,"R2","Hetero",116808.700810161,248167.821845037
"43","EarlyAug","Nano",4,"R3","Chl",165017.394376946,480314.247673531
"44","EarlyAug","Nano",4,"R3","Dapi",285692.560837774,643877.45911275
"45","EarlyAug","Nano",4,"R3","Hetero",124780.597472831,163563.21143922
"46","EarlyAug","Nano",4,"R4","Chl",318994.226525715,851050.600125831
"47","EarlyAug","Nano",4,"R4","Dapi",477068.054507726,1333407.27628666
"48","EarlyAug","Nano",4,"R4","Hetero",158073.82798201,482356.676160828
"49","EarlyAug","Pico",0,"R1","Chl",1081653.91181754,953076.420468517
"50","EarlyAug","Pico",0,"R1","Dapi",2029942.69615109,2020821.17877656
"51","EarlyAug","Pico",0,"R1","Hetero",948288.784333556,1067744.75830805
"52","EarlyAug","Pico",0,"R2","Chl",1014737.36364259,903430.959057071
"53","EarlyAug","Pico",0,"R2","Dapi",2607034.08968526,2070962.62892496
"54","EarlyAug","Pico",0,"R2","Hetero",1592296.72604268,1167531.66986789
"55","EarlyAug","Pico",0,"R3","Chl",1212304.75401114,1025591.92434585
"56","EarlyAug","Pico",0,"R3","Dapi",2527655.06906501,2056337.39429232
"57","EarlyAug","Pico",0,"R3","Hetero",1315350.31505387,1030745.46994647
"58","EarlyAug","Pico",0,"R4","Chl",1148735.6986689,459962.174406472
"59","EarlyAug","Pico",0,"R4","Dapi",2396792.39573166,1754494.02015188
"60","EarlyAug","Pico",0,"R4","Hetero",1248056.69706276,1294531.84574541
"61","EarlyAug","Pico",1,"R1","Chl",623728.143960202,806647.890351199
"62","EarlyAug","Pico",1,"R1","Dapi",2050276.24359266,2329623.68657614
"63","EarlyAug","Pico",1,"R1","Hetero",1426548.09963246,1522975.79622494
"64","EarlyAug","Pico",1,"R2","Chl",518364.184894754,662924.849610526
"65","EarlyAug","Pico",1,"R2","Dapi",2124299.33395629,2527602.57823784
"66","EarlyAug","Pico",1,"R2","Hetero",1605935.14906153,1864677.72862731
"67","EarlyAug","Pico",1,"R3","Chl",356660.826916528,434390.67926199
"68","EarlyAug","Pico",1,"R3","Dapi",1730385.76618348,2475807.85674148
"69","EarlyAug","Pico",1,"R3","Hetero",1373724.93926695,2041417.17747949
"70","EarlyAug","Pico",1,"R4","Chl",380752.796688831,729272.311142192
"71","EarlyAug","Pico",1,"R4","Dapi",1685241.86913146,2098123.0840077
"72","EarlyAug","Pico",1,"R4","Hetero",1304489.07244263,1368850.77286551
"73","EarlyAug","Pico",2,"R1","Chl",747188.614256436,727718.137302067
"74","EarlyAug","Pico",2,"R1","Dapi",2259962.14710006,2163530.67876437
"75","EarlyAug","Pico",2,"R1","Hetero",1512773.53284363,1435812.54146231
"76","EarlyAug","Pico",2,"R2","Chl",707054.307996513,694379.002574479
"77","EarlyAug","Pico",2,"R2","Dapi",2147344.7429243,1789071.39241548
"78","EarlyAug","Pico",2,"R2","Hetero",1440290.43492779,1094692.389841
"79","EarlyAug","Pico",2,"R3","Chl",953954.66502665,701111.713137304
"80","EarlyAug","Pico",2,"R3","Dapi",1927001.73099152,1916289.23168161
"81","EarlyAug","Pico",2,"R3","Hetero",973047.065964867,1215177.51854431
"82","EarlyAug","Pico",2,"R4","Chl",1177087.91558455,999689.346384247
"83","EarlyAug","Pico",2,"R4","Dapi",2091951.66510412,2047625.44504477
"84","EarlyAug","Pico",2,"R4","Hetero",914863.749519569,1047936.09866052
"85","EarlyAug","Pico",4,"R1","Chl",917416.716141434,725848.410752336
"86","EarlyAug","Pico",4,"R1","Dapi",1856326.94006833,1117795.59999433
"87","EarlyAug","Pico",4,"R1","Hetero",938910.223926891,391947.18924199
"88","EarlyAug","Pico",4,"R2","Chl",884795.642344323,805802.062086165
"89","EarlyAug","Pico",4,"R2","Dapi",1203903.93659733,1318107.19002253
"90","EarlyAug","Pico",4,"R2","Hetero",319108.294253006,512305.127936365
"91","EarlyAug","Pico",4,"R3","Chl",762406.662229687,759124.752726606
"92","EarlyAug","Pico",4,"R3","Dapi",1071089.16530755,1069334.48727215
"93","EarlyAug","Pico",4,"R3","Hetero",308682.503077861,310209.734545542
"94","EarlyAug","Pico",4,"R4","Chl",1049980.72906642,804083.53592565
"95","EarlyAug","Pico",4,"R4","Dapi",2041755.9123961,1465579.72393886
"96","EarlyAug","Pico",4,"R4","Hetero",991775.183329681,661496.188013214
"97","EarlySep","Nano",0,"R1","Chl",751596.168227218,725565.79458244
"98","EarlySep","Nano",0,"R1","Dapi",803830.159274369,1200488.46522384
"99","EarlySep","Nano",0,"R1","Hetero",52233.991047151,474922.6706414
"100","EarlySep","Nano",0,"R2","Chl",482804.487877296,659909.103627316
"101","EarlySep","Nano",0,"R2","Dapi",691547.247740746,980313.553402638
"102","EarlySep","Nano",0,"R2","Hetero",221923.409803146,320404.449775322
"103","EarlySep","Nano",0,"R3","Chl",401653.150279791,747827.596751397
"104","EarlySep","Nano",0,"R3","Dapi",668355.514272834,923591.094702607
"105","EarlySep","Nano",0,"R3","Hetero",266702.363993043,175763.49795121
"106","EarlySep","Nano",0,"R4","Chl",463992.699911343,692935.515174813
"107","EarlySep","Nano",0,"R4","Dapi",768284.098261196,1047024.85475158
"108","EarlySep","Nano",0,"R4","Hetero",304291.398349854,354089.339576762
"109","EarlySep","Nano",1,"R1","Chl",184512.940351882,1135222.95338617
"110","EarlySep","Nano",1,"R1","Dapi",253685.660727773,1313072.22924481
"111","EarlySep","Nano",1,"R1","Hetero",69172.7203758911,177849.275858639
"112","EarlySep","Nano",1,"R2","Chl",565284.22471886,663939.574153972
"113","EarlySep","Nano",1,"R2","Dapi",764492.161079104,731025.944597191
"114","EarlySep","Nano",1,"R2","Hetero",199207.936360245,67086.3704432189
"115","EarlySep","Nano",1,"R3","Chl",226436.277243803,1217114.22972344
"116","EarlySep","Nano",1,"R3","Dapi",504440.456644806,1127224.76488999
"117","EarlySep","Nano",1,"R3","Hetero",282506.088011579,-89889.4648334488
"118","EarlySep","Nano",1,"R4","Chl",329624.614059134,616645.092599961
"119","EarlySep","Nano",1,"R4","Dapi",381153.477413954,682048.732293251
"120","EarlySep","Nano",1,"R4","Hetero",98886.8195766628,65403.6396932898
"121","EarlySep","Nano",2,"R1","Chl",334148.066019838,500365.559116355
"122","EarlySep","Nano",2,"R1","Dapi",575937.628207884,993551.523763769
"123","EarlySep","Nano",2,"R1","Hetero",241789.562188047,493185.964647414
"124","EarlySep","Nano",2,"R2","Chl",198005.557616782,571119.544676885
"125","EarlySep","Nano",2,"R2","Dapi",284752.411559875,626149.844900824
"126","EarlySep","Nano",2,"R2","Hetero",86746.8539430935,55030.3002239386
"127","EarlySep","Nano",2,"R3","Chl",244134.828165526,351523.670136886
"128","EarlySep","Nano",2,"R3","Dapi",439630.301141421,559696.758826782
"129","EarlySep","Nano",2,"R3","Hetero",195495.472975895,208173.088689897
"130","EarlySep","Nano",2,"R4","Chl",328321.595086592,487878.014457903
"131","EarlySep","Nano",2,"R4","Dapi",561995.133417819,751261.764903433
"132","EarlySep","Nano",2,"R4","Hetero",233673.538331226,263383.750445531
"133","EarlySep","Nano",4,"R1","Chl",359113.756881653,589903.859409973
"134","EarlySep","Nano",4,"R1","Dapi",414341.979421775,717983.576038026
"135","EarlySep","Nano",4,"R1","Hetero",55228.2225401219,128079.716628053
"136","EarlySep","Nano",4,"R2","Chl",751270.173059701,1041078.07954611
"137","EarlySep","Nano",4,"R2","Dapi",410067.012784069,1514972.46588364
"138","EarlySep","Nano",4,"R2","Hetero",-341203.160275632,473894.386337532
"139","EarlySep","Nano",4,"R3","Chl",244724.666999046,1086430.86701149
"140","EarlySep","Nano",4,"R3","Dapi",462399.325655547,1371865.82162775
"141","EarlySep","Nano",4,"R3","Hetero",217674.658656501,285434.95461626
"142","EarlySep","Nano",4,"R4","Chl",236750.930195944,811773.544868178
"143","EarlySep","Nano",4,"R4","Dapi",298093.075755265,1371922.64799078
"144","EarlySep","Nano",4,"R4","Hetero",61342.1455593213,560149.103122598
"145","EarlySep","Pico",0,"R1","Chl",832801.233421096,743507.008736279
"146","EarlySep","Pico",0,"R1","Dapi",2127672.59726579,1895075.91555319
"147","EarlySep","Pico",0,"R1","Hetero",1294871.3638447,1151568.90681691
"148","EarlySep","Pico",0,"R2","Chl",1003600.56734946,744569.341613574
"149","EarlySep","Pico",0,"R2","Dapi",2559000.24173086,2076565.35711137
"150","EarlySep","Pico",0,"R2","Hetero",1555399.67438139,1331996.01549779
"151","EarlySep","Pico",0,"R3","Chl",1243193.03666009,1195036.98910604
"152","EarlySep","Pico",0,"R3","Dapi",3120880.1938501,2790792.04936288
"153","EarlySep","Pico",0,"R3","Hetero",1877687.15719001,1706882.00502909
"154","EarlySep","Pico",0,"R4","Chl",1497438.19874837,1147734.61549576
"155","EarlySep","Pico",0,"R4","Dapi",3886230.78611083,2859850.09361735
"156","EarlySep","Pico",0,"R4","Hetero",2388792.58736246,1712115.47812159
"157","EarlySep","Pico",1,"R1","Chl",793791.607080413,726618.805652526
"158","EarlySep","Pico",1,"R1","Dapi",1855137.27965812,1656964.15236754
"159","EarlySep","Pico",1,"R1","Hetero",1061345.67257771,930345.346715016
"160","EarlySep","Pico",1,"R2","Chl",1060996.64126303,448949.196925058
"161","EarlySep","Pico",1,"R2","Dapi",1944385.26149866,1012902.741437
"162","EarlySep","Pico",1,"R2","Hetero",883388.620235629,563953.544511937
"163","EarlySep","Pico",1,"R3","Chl",751402.23923227,837836.368609373
"164","EarlySep","Pico",1,"R3","Dapi",1947978.05982783,2198053.58293149
"165","EarlySep","Pico",1,"R3","Hetero",1196575.82059556,1360217.21432212
"166","EarlySep","Pico",1,"R4","Chl",784679.419357437,624362.875914029
"167","EarlySep","Pico",1,"R4","Dapi",1943038.57382149,1210535.60205557
"168","EarlySep","Pico",1,"R4","Hetero",1158359.15446405,586172.726141538
"169","EarlySep","Pico",2,"R1","Chl",547769.489615036,553110.218650767
"170","EarlySep","Pico",2,"R1","Dapi",1180307.45566767,1163583.20256573
"171","EarlySep","Pico",2,"R1","Hetero",632537.966052637,610472.983914965
"172","EarlySep","Pico",2,"R2","Chl",831871.072993307,711996.502593003
"173","EarlySep","Pico",2,"R2","Dapi",1576965.25417253,1451493.15038545
"174","EarlySep","Pico",2,"R2","Hetero",745094.181179221,739496.647792449
"175","EarlySep","Pico",2,"R3","Chl",654665.35975478,521343.243735431
"176","EarlySep","Pico",2,"R3","Dapi",1458180.83589879,1210404.13805785
"177","EarlySep","Pico",2,"R3","Hetero",803515.476144015,689060.894322419
"178","EarlySep","Pico",2,"R4","Chl",916261.519356324,586222.170717169
"179","EarlySep","Pico",2,"R4","Dapi",1544694.90706532,1357030.98497901
"180","EarlySep","Pico",2,"R4","Hetero",628433.387708994,770808.814261841
"181","EarlySep","Pico",4,"R1","Chl",1299365.88498118,682302.341278921
"182","EarlySep","Pico",4,"R1","Dapi",2831169.1971601,1427483.25643636
"183","EarlySep","Pico",4,"R1","Hetero",1531803.31217892,842286.542747459
"184","EarlySep","Pico",4,"R2","Chl",808724.625550116,541602.914721835
"185","EarlySep","Pico",4,"R2","Dapi",1866019.64448586,1259969.31661016
"186","EarlySep","Pico",4,"R2","Hetero",1057295.01893574,718366.401888322
"187","EarlySep","Pico",4,"R3","Chl",773132.19079675,491936.728577842
"188","EarlySep","Pico",4,"R3","Dapi",2073367.25069636,1179895.93447218
"189","EarlySep","Pico",4,"R3","Hetero",1300235.05989961,687959.205894341
"190","EarlySep","Pico",4,"R4","Chl",856065.268360489,533031.813696626
"191","EarlySep","Pico",4,"R4","Dapi",2086285.36688725,907386.463008872
"192","EarlySep","Pico",4,"R4","Hetero",1230220.09852676,374354.649312247
