,Sample_ID,Sample_date,Sample_site,Phylum,Genus_type,Density_cellsPerL,Phyto_biomass_mgL,Length_um,Width1_um,Width2_um,Diameter_col_um,Diameter_cell_um,Type,Edible,Size_class,Comments
1,20210809-36-873,8/9/2021,36-873,Chlorophyta,Actinastrum,64.90863438,0.002655163,12.5,2.5,NA,NA,NA,Colonial,TRUE,MICRO,LxW is one cell-- usually 2 cells across (see pic)
2,20210809-36-873,8/9/2021,36-873,Chlorophyta,Ankistrodesmus,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
3,20210809-36-873,8/9/2021,36-873,Chlorophyta,Carteria,108.1810573,0.121340932,NA,NA,NA,NA,12.75,Solitary,TRUE,NANO,
4,20210809-36-873,8/9/2021,36-873,Chlorophyta,Chlamydomonas,497.6328636,0.063307927,NA,NA,NA,NA,5.875,Solitary,TRUE,NANO,
5,20210809-36-873,8/9/2021,36-873,Chlorophyta,Chlorophyte Filament,248.8164318,0.086027269,135,5,NA,NA,NA,Filament,FALSE,MICRO,
6,20210809-36-873,8/9/2021,36-873,Chlorophyta,Coelastrum,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
7,20210809-36-873,8/9/2021,36-873,Chlorophyta,Colonial Chlorophyte,129.8172688,0.00849652,NA,NA,NA,NA,5,Colonial,TRUE,MICRO,"Small green algae aggregated in a colony-- bench sheets indicates there were 12 of 5um, so think the colony would be larger than 20um"
9,20210809-36-873,8/9/2021,36-873,Charophyta,Cosmarium,43.27242292,0.001593098,NA,NA,NA,NA,7.5,Solitary,TRUE,NANO,
10,20210809-36-873,8/9/2021,36-873,Chlorophyta,Crucigenia,237.9983261,0.015576954,NA,NA,NA,NA,5,Colonial,TRUE,NANO,always in 4 like the pic-- one cell is 5um
11,20210809-36-873,8/9/2021,36-873,Chlorophyta,Eudorina,389.4518063,0.086027269,NA,NA,NA,NA,7.5,Colonial,TRUE,MICRO,"always colony-- can't tell from bench sheet how many in a colony, but whole colony likely >20 um"
12,20210809-36-873,8/9/2021,36-873,Chlorophyta,Micractinium,0,0,NA,NA,NA,NA,NA,Solitary,FALSE,,
13,20210809-36-873,8/9/2021,36-873,Chlorophyta,Oocystis,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
14,20210809-36-873,8/9/2021,36-873,Chlorophyta,Pediastrum,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
15,20210809-36-873,8/9/2021,36-873,Chlorophyta,Scenedesmus,475.9966521,0.008177901,5.25,2.5,NA,NA,NA,Colonial,TRUE,NANO,"Mike says he sees them in 2-4 per colony, and the colony is like an acordian, so total colony should be <20um"
16,20210809-36-873,8/9/2021,36-873,Chlorophyta,Schroederia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
17,20210809-36-873,8/9/2021,36-873,Chlorophyta,Solitary Green,1319.808899,0.167903633,NA,NA,NA,NA,5.875,Solitary,TRUE,NANO,
18,20210809-36-873,8/9/2021,36-873,Chlorophyta,Spiny Green,10.81810573,0.088505421,NA,NA,NA,NA,25,Solitary,FALSE,MICRO,
19,20210809-36-873,8/9/2021,36-873,Cryptophyta,Chroomonas,1027.720044,0.20263316,NA,NA,NA,NA,7,Solitary,TRUE,NANO,
20,20210809-36-873,8/9/2021,36-873,Cryptophyta,Cryptomonas,54.09052865,0.116915661,24,13,NA,NA,NA,Solitary,TRUE,MICRO,
21,20210809-36-873,8/9/2021,36-873,Cryptophyta,Rhodomonas,173.0896917,0.179754509,17.8125,10.46875,NA,NA,NA,Solitary,TRUE,NANO,
22,20210809-36-873,8/9/2021,36-873,Ochrophyta,Dinobryon,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
23,20210809-36-873,8/9/2021,36-873,Ochrophyta,Mallomonas,10.81810573,0.017701084,20,12.5,NA,NA,NA,Solitary,TRUE,NANO,
24,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Asterionella,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
25,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Aulacoseira,876.2665642,2.667553375,228.3333333,12.22222222,NA,NA,NA,Filament,FALSE,MICRO,
26,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Centric Diatom,346.1793834,0.112047862,NA,NA,NA,NA,8.875,Solitary,TRUE,NANO,
27,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Cyclotella,54.09052865,0.143378781,NA,NA,NA,NA,18,Solitary,TRUE,NANO,
28,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Fragilaria,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
29,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Navicula,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
30,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Pennate Diatom,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
31,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Synedra,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
32,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Aphanizomenon,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
33,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Aphanocapsa,0,0,NA,NA,NA,NA,NA,Colonial,FALSE,,
34,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Chroococcus,0,0,NA,NA,NA,NA,NA,Colonial,FALSE,,
35,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Cyanophyte Coccoid,5982.412469,0.033954551,NA,NA,NA,NA,2.0625,Solitary,FALSE,NANO,
36,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Dolichospermum,367.8155948,0.036110212,170,5,NA,NA,NA,Filament,FALSE,MICRO,
37,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Merismopedia,1752.533128,0.001792235,NA,NA,NA,NA,1.25,Colonial,FALSE,NANO,In bench sheet: 8-32 cells/colony-- colonies are usually rectangular (see pic in guide)
38,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Microcystis,108.1810573,1.803242535,NA,NA,NA,24.03,1.45,Colonial,FALSE,MICRO,
39,20210809-36-873,8/9/2021,36-873,Miozoa,Gymnodinium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
40,20210809-36-873,8/9/2021,36-873,Miozoa,Peridinium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
41,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Aphanothece,475.9966521,0.00048678,NA,NA,NA,NA,1.25,Colonial,FALSE,MICRO,"Hard to tell how many in a colony, but 44 cells counted total in sample"
42,20210809-36-873,8/9/2021,36-873,Miozoa,Ceratium,0,0,NA,NA,NA,NA,NA,Solitary,FALSE,,
43,20210809-36-873,8/9/2021,36-873,Chlorophyta,Characium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
44,20210809-36-873,8/9/2021,36-873,Cryptophyta,Chilomonas,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
45,20210809-36-873,8/9/2021,36-873,Chlorophyta,Closteriopsis,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
46,20210809-36-873,8/9/2021,36-873,Charophyta,Closterium,0,0,NA,NA,NA,NA,NA,Solitary,FALSE,,
47,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Cocconeis,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
48,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Coscinodiscus,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
49,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Cylindrospermopsis,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
50,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Cymbella,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
51,20210809-36-873,8/9/2021,36-873,Chlorophyta,Dictyosphaerium,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
52,20210809-36-873,8/9/2021,36-873,Chlorophyta,Dimorphococcus,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
53,20210809-36-873,8/9/2021,36-873,Chlorophyta,Eutetramorus,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
54,20210809-36-873,8/9/2021,36-873,Chlorophyta,Franceia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
55,20210809-36-873,8/9/2021,36-873,Chlorophyta,Golenkinia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
56,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Gomphonema,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
57,20210809-36-873,8/9/2021,36-873,Chlorophyta,Gonium,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
58,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Gyrosigma,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
59,20210809-36-873,8/9/2021,36-873,Chlorophyta,Kirchneriella,32.45431719,0.000265516,5,2.5,NA,NA,NA,Colonial,TRUE,NANO,"Bench sheet says there were 3 cells total, and they don't line up with each other, so I think they'd fall into the nano size range for this sample"
60,20210809-36-873,8/9/2021,36-873,Chlorophyta,Lagerheimia,10.81810573,0.002389646,NA,NA,NA,NA,7.5,Solitary,TRUE,NANO,
61,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Lyngbya,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
62,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Nitzschia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
63,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Opephora,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
64,20210809-36-873,8/9/2021,36-873,Chlorophyta,Pandorina,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
65,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Planktothrix,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
66,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Pseudanabaena,1254.900265,0.015977441,10.375,1.25,NA,NA,NA,Filament,FALSE,NANO,
67,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Rhizosolenia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
68,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Rhoicosphenia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
69,20210809-36-873,8/9/2021,36-873,Chlorophyta,Sphaerocystis,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
70,20210809-36-873,8/9/2021,36-873,Charophyta,Spirogyra,0,0,NA,NA,NA,NA,NA,Filament,TRUE,,
71,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Spirulina,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
72,20210809-36-873,8/9/2021,36-873,Charophyta,Staurastrum,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
73,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Stephanodiscus,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
74,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Surirella,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
75,20210809-36-873,8/9/2021,36-873,Ochrophyta,Synura,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
76,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Tabellaria,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
77,20210809-36-873,8/9/2021,36-873,Chlorophyta,Tetraedron,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
78,20210809-36-873,8/9/2021,36-873,Chlorophyta,Treubaria,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
79,20210809-36-873,8/9/2021,36-873,Ochrophyta,Tribonema,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
80,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Cyanophyte Filament,75.72674011,0.000331895,25,1.25,NA,NA,NA,Filament,FALSE,MICRO,
83,20210910-36-873,9/10/2021,36-873,Chlorophyta,Actinastrum,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
84,20210910-36-873,9/10/2021,36-873,Chlorophyta,Ankistrodesmus,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
85,20210910-36-873,9/10/2021,36-873,Chlorophyta,Carteria,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
86,20210910-36-873,9/10/2021,36-873,Chlorophyta,Chlamydomonas,585.4151358,0.074714896,NA,NA,NA,NA,6,Solitary,TRUE,NANO,
87,20210910-36-873,9/10/2021,36-873,Chlorophyta,Chlorophyte Filament,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
88,20210910-36-873,9/10/2021,36-873,Chlorophyta,Coelastrum,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
90,20210910-36-873,9/10/2021,36-873,Chlorophyta,Colonial Chlorophyte,97.56918929,0.006385889,NA,NA,NA,NA,5,Colonial,TRUE,MICRO,"Bench sheet says 8 cells in the sample-- if one colony, then >20um"
91,20210910-36-873,9/10/2021,36-873,Charophyta,Cosmarium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
92,20210910-36-873,9/10/2021,36-873,Chlorophyta,Crucigenia,48.78459465,0.003192944,NA,NA,NA,NA,5,Colonial,TRUE,NANO,
93,20210910-36-873,9/10/2021,36-873,Chlorophyta,Eudorina,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
94,20210910-36-873,9/10/2021,36-873,Chlorophyta,Micractinium,0,0,NA,NA,NA,NA,NA,Solitary,FALSE,,
95,20210910-36-873,9/10/2021,36-873,Chlorophyta,Oocystis,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
96,20210910-36-873,9/10/2021,36-873,Chlorophyta,Pediastrum,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
97,20210910-36-873,9/10/2021,36-873,Chlorophyta,Scenedesmus,73.17689197,0.001197354,5,2.5,NA,NA,NA,Colonial,TRUE,NANO,
98,20210910-36-873,9/10/2021,36-873,Chlorophyta,Schroederia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
99,20210910-36-873,9/10/2021,36-873,Chlorophyta,Solitary Green,963.4957443,0.093014457,NA,NA,NA,NA,5.5,Solitary,TRUE,NANO,
100,20210910-36-873,9/10/2021,36-873,Chlorophyta,Spiny Green,24.39229732,0.018858327,NA,NA,NA,NA,11.25,Solitary,FALSE,NANO,
101,20210910-36-873,9/10/2021,36-873,Cryptophyta,Chroomonas,2000.168381,0.379641072,NA,NA,NA,NA,7,Solitary,TRUE,NANO,
102,20210910-36-873,9/10/2021,36-873,Cryptophyta,Cryptomonas,12.19614866,0.027439365,27.5,12.5,NA,NA,NA,Solitary,TRUE,MICRO,
103,20210910-36-873,9/10/2021,36-873,Cryptophyta,Rhodomonas,24.39229732,0.02235061,17.5,10,NA,NA,NA,Solitary,TRUE,NANO,
104,20210910-36-873,9/10/2021,36-873,Ochrophyta,Dinobryon,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
105,20210910-36-873,9/10/2021,36-873,Ochrophyta,Mallomonas,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
106,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Asterionella,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
107,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Aulacoseira,780.5535143,2.750754734,193.0555556,12.77777778,NA,NA,NA,Filament,FALSE,MICRO,
108,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Centric Diatom,219.5306759,0.149070585,NA,NA,NA,NA,11.66666667,Solitary,TRUE,NANO,
109,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Cyclotella,24.39229732,0.092869777,NA,NA,NA,NA,21.25,Solitary,TRUE,MICRO,
110,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Fragilaria,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
111,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Navicula,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
112,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Pennate Diatom,24.39229732,0.005955151,25,4.375,NA,NA,NA,Solitary,TRUE,MICRO,
113,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Synedra,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
114,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Aphanizomenon,378.0806085,0.034124592,142.5,5,NA,NA,NA,Filament,FALSE,MICRO,
115,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Aphanocapsa,0,0,NA,NA,NA,NA,NA,Colonial,FALSE,,
116,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Chroococcus,0,0,NA,NA,NA,NA,NA,Colonial,FALSE,,
117,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Cyanophyte Coccoid,5000.420951,0.025837641,NA,NA,NA,NA,1.973684211,Solitary,FALSE,PICO,
118,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Dolichospermum,60.98074331,0.00598677,25,5,NA,NA,NA,Filament,FALSE,MICRO,
119,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Merismopedia,5024.813249,0.005138645,NA,NA,NA,NA,1.25,Colonial,FALSE,NANO,In bench sheet: 8-32 cells/colony-- colonies are usually rectangular (see pic in guide)
120,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Microcystis,4276.70659,1.145372,NA,NA,NA,28.125,1.6375,Colonial,FALSE,MICRO,
121,20210910-36-873,9/10/2021,36-873,Miozoa,Gymnodinium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
122,20210910-36-873,9/10/2021,36-873,Miozoa,Peridinium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
123,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Aphanothece,0,0,NA,NA,NA,NA,NA,Colonial,FALSE,,
124,20210910-36-873,9/10/2021,36-873,Miozoa,Ceratium,0,0,NA,NA,NA,NA,NA,Solitary,FALSE,,
125,20210910-36-873,9/10/2021,36-873,Chlorophyta,Characium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
126,20210910-36-873,9/10/2021,36-873,Cryptophyta,Chilomonas,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
127,20210910-36-873,9/10/2021,36-873,Chlorophyta,Closteriopsis,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
128,20210910-36-873,9/10/2021,36-873,Charophyta,Closterium,0,0,NA,NA,NA,NA,NA,Solitary,FALSE,,
129,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Cocconeis,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
130,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Coscinodiscus,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
131,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Cylindrospermopsis,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
132,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Cymbella,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
133,20210910-36-873,9/10/2021,36-873,Chlorophyta,Dictyosphaerium,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
134,20210910-36-873,9/10/2021,36-873,Chlorophyta,Dimorphococcus,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
135,20210910-36-873,9/10/2021,36-873,Chlorophyta,Eutetramorus,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
136,20210910-36-873,9/10/2021,36-873,Chlorophyta,Franceia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
137,20210910-36-873,9/10/2021,36-873,Chlorophyta,Golenkinia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
138,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Gomphonema,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
139,20210910-36-873,9/10/2021,36-873,Chlorophyta,Gonium,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
140,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Gyrosigma,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
141,20210910-36-873,9/10/2021,36-873,Chlorophyta,Kirchneriella,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
142,20210910-36-873,9/10/2021,36-873,Chlorophyta,Lagerheimia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
143,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Lyngbya,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
144,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Nitzschia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
145,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Opephora,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
146,20210910-36-873,9/10/2021,36-873,Chlorophyta,Pandorina,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
147,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Planktothrix,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
148,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Pseudanabaena,829.338109,0.011068042,10.875,1.25,NA,NA,NA,Filament,FALSE,NANO,
149,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Rhizosolenia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
150,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Rhoicosphenia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
151,20210910-36-873,9/10/2021,36-873,Chlorophyta,Sphaerocystis,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
152,20210910-36-873,9/10/2021,36-873,Charophyta,Spirogyra,0,0,NA,NA,NA,NA,NA,Filament,TRUE,,
153,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Spirulina,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
154,20210910-36-873,9/10/2021,36-873,Charophyta,Staurastrum,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
155,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Stephanodiscus,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
156,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Surirella,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
157,20210910-36-873,9/10/2021,36-873,Ochrophyta,Synura,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
158,20210910-36-873,9/10/2021,36-873,Bacillariophyta,Tabellaria,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
159,20210910-36-873,9/10/2021,36-873,Chlorophyta,Tetraedron,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
160,20210910-36-873,9/10/2021,36-873,Chlorophyta,Treubaria,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
161,20210910-36-873,9/10/2021,36-873,Ochrophyta,Tribonema,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
162,20210910-36-873,9/10/2021,36-873,Cyanobacteria,Cyanophyte Filament,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
